case_id,journal_id,journal_name,silver_relevance,draft_reason,human_review_status
11,,Algorithmica,3,图算法和数据结构主题高度匹配,pending
11,,Journal of Computer and System Sciences,2,理论计算机科学和动态图算法匹配,pending
11,,Theory of Computing Systems,2,图算法与计算理论匹配,pending
11,,Theoretical Computer Science,2,动态图和图分隔理论相关,pending
11,,Information Processing Letters,1,理论结果相关但成果篇幅和深度需人工判断,pending
12,,ACM Transactions on Graphics,3,新视角合成和实时渲染高度匹配,pending
12,,Computer Graphics Forum,3,三维表示与实时图形渲染高度匹配,pending
12,,IEEE Transactions on Visualization and Computer Graphics,3,三维场景表示和可视化渲染匹配,pending
12,,International Journal of Computer Vision,2,多视图重建和新视角合成相关,pending
12,,IEEE Transactions on Pattern Analysis and Machine Intelligence,2,学习式三维视觉方法相关,pending
12,,Computers & Graphics,2,实时渲染实现与图形应用匹配,pending
12,,The Visual Computer,1,三维视觉与图形范围匹配但选择性较宽,pending
13,,"IEEE Transactions on Audio, Speech and Language Processing",3,端到端语音识别架构高度匹配,pending
13,,Computer Speech & Language,3,语音识别和语言处理技术高度匹配,pending
13,,Speech Communication,3,声学建模与自动语音识别高度匹配,pending
13,,Transactions of the Association for Computational Linguistics,2,序列建模和Transformer方法相关,pending
13,,Computational Linguistics,2,语言建模贡献相关但语音内容更核心,pending
13,,Neural Networks,2,卷积增强Transformer神经架构匹配,pending
13,,"Journal of Speech, Language, and Hearing Research",1,语音研究相关但工程识别系统并非唯一重点,pending
14,,IEEE Transactions on Computers,3,与case 01相同论文且DRAM可靠性高度匹配,pending
14,,ACM Transactions on Architecture and Code Optimization,3,与case 01相同论文且内存体系结构高度匹配,pending
14,,ACM Transactions on Computer Systems,2,与case 01相同论文且系统交互主题匹配,pending
14,,IEEE Transactions on Dependable and Secure Computing,2,与case 01相同论文且可靠安全计算匹配,pending
14,,ACM Transactions on Storage,2,与case 01相同论文且存储可靠性相关,pending
14,,Computers & Security,1,与case 01相同论文且安全影响相关,pending
15,,Transactions of the Association for Computational Linguistics,3,词向量和计算语言学方法高度匹配,pending
15,,Computational Linguistics,3,词表示与语义规律高度匹配,pending
15,,Journal of Machine Learning Research,3,通用表示学习与优化方法匹配,pending
15,,Machine Learning,2,无监督词表示学习算法匹配,pending
15,,Natural Language Engineering,2,词向量在NLP系统中的应用相关,pending
15,,ACM Transactions on Intelligent Systems and Technology,2,表示学习与智能应用匹配,pending
15,,Information Sciences,1,向量表示方法相关但范围较宽,pending
16,,Journal of Machine Learning Research,3,深核学习和可扩展高斯过程高度匹配,pending
16,,Machine Learning,3,核方法与深度表示联合学习高度匹配,pending
16,,IEEE Transactions on Neural Networks and learning systems,3,深度神经特征和概率核学习匹配,pending
16,,Neural Computation,2,神经网络和核学习理论相关,pending
16,,Artificial Intelligence,2,通用机器学习模型创新相关,pending
16,,Neurocomputing,2,深度学习与高斯过程结合匹配,pending
16,,Pattern Recognition,1,分类表示学习相关但核方法主题更通用,pending
17,,ACM Transactions on Computer-Human Interaction,3,Human-AI交互设计指南高度匹配,pending
17,,ACM Transactions on Interactive Intelligent Systems,3,AI交互系统设计与评估高度匹配,pending
17,,International Journal of Human-Computer Studies,3,人机交互设计原则和用户研究高度匹配,pending
17,,Human-Computer Interaction,2,Human-AI交互理论与设计实践匹配,pending
17,,Proceedings of the ACM on Human-Computer Interaction,2,HCI实证研究与设计知识匹配,pending
17,,User Modeling and User-Adapted Interaction,2,智能系统适应性和用户需求相关,pending
17,,Behaviour & Information Technology,1,人与AI系统行为关系相关但范围更宽,pending
18,,ACM Transactions on Computer-Human Interaction,3,与case 17相同论文且Human-AI交互高度匹配,pending
18,,ACM Transactions on Interactive Intelligent Systems,3,与case 17相同论文且智能交互系统高度匹配,pending
18,,International Journal of Human-Computer Studies,3,与case 17相同论文且HCI设计原则高度匹配,pending
18,,Human-Computer Interaction,2,与case 17相同论文且交互理论和实践匹配,pending
18,,Proceedings of the ACM on Human-Computer Interaction,2,与case 17相同论文且实证HCI研究匹配,pending
18,,User Modeling and User-Adapted Interaction,2,与case 17相同论文且自适应交互相关,pending
18,,Behaviour & Information Technology,1,与case 17相同论文且人机行为关系相关,pending
19,,ACM Transactions on Computer-Human Interaction,3,无障碍触屏交互和用户研究高度匹配,pending
19,,International Journal of Human-Computer Studies,3,盲人用户交互设计与对照实验高度匹配,pending
19,,Proceedings of the ACM on Human-Computer Interaction,3,无障碍HCI实证研究高度匹配,pending
19,,Interacting with Computers,2,触摸交互技术和可用性评估匹配,pending
19,,International Journal of Human-Computer Interaction,2,移动无障碍交互和用户体验匹配,pending
19,,Personal and Ubiquitous Computing,2,移动触屏和非视觉普适交互相关,pending
19,,Behaviour & Information Technology,1,无障碍用户行为与技术关系相关,pending
20,,IEEE Transactions on Knowledge and Data Engineering,3,大规模信息网络嵌入高度匹配,pending
20,,ACM Transactions on Knowledge Discovery from Data,3,网络表示学习和可扩展图挖掘高度匹配,pending
20,,Data Mining and Knowledge Discovery,3,图结构特征学习高度匹配,pending
20,,Machine Learning,2,无监督表示学习目标与优化匹配,pending
20,,Journal of Machine Learning Research,2,通用网络嵌入方法相关,pending
20,,ACM Transactions on Information Systems,2,信息网络表示及下游信息任务相关,pending
20,,Information Sciences,1,网络分析和降维范围匹配但较宽,pending
21,,ACM Transactions on Recommender Systems,3,社交关系推断和推荐应用高度匹配,pending
21,,ACM Transactions on Information Systems,3,用户建模和社交信息检索高度匹配,pending
21,,IEEE Transactions on Knowledge and Data Engineering,3,轨迹挖掘和多标签预测高度匹配,pending
21,,GeoInformatica,2,位置轨迹数据挖掘和空间信息分析匹配,pending
21,,ACM Transactions on the Web,2,位置社交网络与Web社交计算相关,pending
21,,Information Sciences,2,深度多标签学习和轨迹分析匹配,pending
21,,Pervasive and Mobile Computing,1,移动轨迹和位置感知应用相关,pending
